Firm Name,Type (Intl / Local),Office Location(s) in APAC,Practice Areas,Known Client Base,Notable Cases / Disputes,Notes
Reed Smith,International,"10 Collyer Quay, #18-01 Ocean Financial Centre, Singapore 049315 (Reedsmith.Com)","Dispute Resolution & Litigation, Regulatory & Compliance","Uniper Global Commodities SE, AM Green Ammonia (India) Pvt. Ltd, China Merchants Energy Shipping, Sinopec, Crescent Petroleum, Crescent Gas, ARC Resources Ltd. (ARC), SGO: a UK election technology company, Eurobank, Trifylli Iliaki S.M.S.A.,  DRW,  Art-Invest Real Estate, Avery Healthcare, Vendrix Inc., Beehive, UAE Creative Media Authority and Abu Dhabi Film Commission, Samsung Austin Semiconductor, Purdue Pharmacy, Federated Hermes, Santander Holdings USA, Perrigo Company, Roman Catholic Diocese of Rockville Center New York, J.M. Smith Corporation, Philips Healthcare,  Elevate Services, Phoebe Energy S.M.S.A., PPC Renewables S.M.S.A., Spin Master UK Limited (reedsmith.com)","RTI Ltd v MUR Shipping BV [2024] UKSC 18, Sharp Corp Ltd v Viterra BV [2024] UKSC 14, The Aquafreedom [2024] EWHC 255 (Comm), The Ever Given – SMIT Salvage BV and Others v Luster Maritime SA [2024] EWCA Civ 260, Maersk Guiné-Bissau v Almar-Hum Bubacar Baldé [2024] EWHC 993 (Comm) (reedsmith.com)",website: https://www.reedsmith.com/
HFW (Holman Fenwick Willan),International,"30 Raffles Place, #24-01, Bni Tower, Singapore 048622 (Hfw.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Regulatory & Compliance","BGN Energy, Sumitomo Mitsui Banking Corporation,  the Republic of South Africa, the Gunvor Group, Northumbrian Water, Uniserve, Technip Energie, Abu Dhabi Commercial Bank, Asertis, CAFI (Commodity & Freight Integrators DMCC), China Hanking Holdings Limited (China Hanking), Cosco Shipping Ports Limited (COSCO),  UBS Switzerland AG,  Al Seer Marine (ASM), Venetico Marine SA (chambers, hfw.com)","The ""Rena"" Grounding, OW Bunker Bankruptcy, The ""Prestige"" Oil Spill, The ""Ocean Victory"" Case (https://www.studocu.com/en-gb/messages/question/5472340/what-are-some-famous-cases-that-were-advised-by-hfw-and-how-were-they-influential)",website: https://www.hfw.com/
Clyde & Co,International,"12 Marina Boulevard, #30-03 Marina Bay Financial Centre Tower 3, Singapore 018982 (Clydeco.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Regulatory & Compliance, Real Estate & Construction, Employment & Labor","Urban&Civic, TransactPay, Al Buhaira National Insurance Company (ABNIC), E D & F Man Capital Markets Ltd (MCM), Galliford Try, Welborne Land, Native Land Limited,  Lendlease Group, Citigroup, ThinCats, Community Pharmacy England,  Jaguar Land Rover, Erada Finance,  Pearl Infrastructure capital, Al Bawardi Enterprises, Suez Fortune Investments Ltd","The 'Brillante Virtuoso' Case, Precedent setting FOSFA sale of goods arbitration (switzerland), Appealing the Refined Sugar Associations Arbitration Award (UK), Collision of VLCC ""ALEXANDRA 1"" and ""EVER SMART"" (UK), Penglai 19-3 Oil Field Pollution (China/USA),  COSCO BUSAN Allision with San Francisco-Oakland Bay Bridge (USA), Agarwal Coal High Court Appeal (UK) (claude + clydeco.com + perplexity)",
Stephenson Harwood,International,"Stephenson Harwood (Singapore) Alliance, 8 Marina Boulevard #29-01, Marina Bay Financial Centre Tower 1, Singapore 018981 (Stephensonharwood.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Fraud, Investigations & White Collar, Regulatory & Compliance, Real Estate & Construction, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance","Bicycle Therapeutics, Trafigura, WindAcre Partnership, KFin Technologies,  National Bank of Fujairah PJSC, The Arab Energy Fund, Yellow Door Energy, ICICI Bank, BW Group, HSBC, Standard Chartered, ICBC Leasing, PSA International, Mitsui & Co., Olam International, ADM (perplexity + google, from standard chartered till adm by perplexity)","former Yukos Oil Company shareholders v The Russian Federation, Trafigura Pte Ltd & Anor v Prateek Gupta & Ors [2026] EWHC 159 (Comm), SLB and others v PAK and others [2026] EWHC 449 (Comm), GAIL (India) Limited v SEFE Marketing & Trading Singapore Pte Limited, Narciso v Nash (ARB 009/2024) (google AI + google  & news + claude AI )",
Watson Farley & Williams,International,"88 Market Street #31-05, Capitaspring, Singapore, 048948, Singapore (Wfw.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Dispute Resolution & Litigation, Regulatory & Compliance, Competition & Antitrust","Cerulean Winds, Vattenfall, HSBC UK, UCED, Maas Capital Shipping, Willow MezzCo, Heytesbury, Trafigura, Shell Energy Europe Limited (SEEL), JE Energy Ltd, BW Energy Holdings Pte Ltd (wfw.com), MRI Trading AG (google AI)","The merger between Hapag-Lloyd and the United Arab Shipping Company (UASC), WFW advises Guinea as US$24bn Simandou African mega-project closes, Niko Resources (Bangladesh) Ltd v. Bangladesh Petroleum Exploration & Production Company Limited (""Bapex"") and Bangladesh Oil Gas and Mineral Corporation (""Petrobangla""), MRI Trading AG v Erdenet Mining Corp LLC (2013) (perplexity + google AI)",https://www.wfw.com/
Ince & Co Singapore LLP,International,"5 Shenton Way, #19-01, Uic Building, Singapore 068808","Dispute Resolution & Litigation, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Insurance","London Commodity Brokers Ltd.(vlex.co.uk),Statoil ASA (gemini), Glory Bulk Carriers Pte Ltd. (hongkongmaritimehub.com),TCC Group (Tai Chong Cheang Shipping) (Google Ai), Seacon Shipping Group Holdings, Mur Shipping B.V.,Stena Bulk / CM P-Max (Gemini), Clearlake Shipping, Trafigura Group (Gemini), Permasteelisa Gartner HK (gemini)","Global Coal Ltd v London Commodity Brokers (vlex.couk),Statoil ASA v Louis Dreyfus Energy Services LP (The Harriette N)(ipsaloquitur.com ), Priyanka Shipping Limited v Glory Bulk Carriers Pte Ltd [2019] EWHC 2804 (Comm) (Gemini)","Rosita Lau (Partner & Head of Shipping), Ince don't have  office in sg(gemini)"
Norton Rose Fulbright,International,"Norton Rose Fulbright (Asia) Llp ,9 Straits Viewmarina One West Tower#09-09 Singapore 018937","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Dispute Resolution & Litigation, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Intellectual Property, Energy & Infrastructure, Private Wealth & Estate Planning","Energy Transfer (gemini),Louis Dreyfus Company (LDC) ( gemini), Nippon Yusen Kabushiki Kaisha (NYK Group),  Stena Group, Costamare Inc., P&O Ferries, Carnival Corporation, Dubai Ports World, Roi Tinto, DVB (legal500), P&O North Sea Ferries Ltd (perplexity)","Suez Fortune Investments Ltd v Talbot(gemini), PD Teesport Ltd v. P&O North Sea Ferries Ltd — Force Majeure / Ferry Operator Dispute (2022–2023), Carnival Corporation v. Fincantieri S.p.A — Shipbuilding Contract / Breach of Guarantee (Ongoing as of 2024–2025), Shell UK v. Greenpeace UK — FPSO Boarding Dispute (2023–2024), KfW IPEX-Bank v. World Dream Limited (""The World Dream"") — Ship Mortgage Enforcement (2022–2024) (perplexity)",
Baker McKenzie,International,38 Beach Road #23-11 South Beach Tower Singapore 189767 (Bakermckenzie.Com),"Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Funds & Investment Management, Dispute Resolution & Litigation, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, ESG & Sustainability","Mondelez Global, Veritas,  Olink Holding AB, Pacific Gas & Electric, Physicians Realty Trust, Cummins Inc, Numab Therapeutics, Premier Assurance Group, Acorda, Regent, Vesta Advisors, Shell Singapore Pte. Ltd., Bunge Limited (google ai)","Anaklia Development Consortium (ADC) and Bob Meijer v. Georgia (ICC & ICSID parallel claims), Lakatamia Shipping Co Ltd v Su & Ors,  Lehram Capital Investments Ltd v. Baker McKenzie, Anaklia Development Consortium (ADC) v. Government of Georgia (google ai)",bakermckenzie.com
Squire Patton Boggs,International,"1 Marina Boulevard, #21-01 One Marina Boulevard, Singapore 018989 (Www.Squirepattonboggs.Com)","Corporate & M&A, Banking & Finance, Private Equity & Venture Capital, International Arbitration, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Hospitality & Leisure","China National Petroleum Corporation (CNPC), China Petroleum Technology & Development Corporation (CPTDC), Stellar Chartering & Brokerage Inc., T.K. Boesen A/S, Orient Shipping (Rotterdam) B.V., AIC Ltd, Marine Pilot Ltd, Shackerley Holdings Ltd, Itochu Europe PLC, Cedar Fair (google ai)","LG Caltex v CNPC, Triad Shipping Co v Stellar Chartering & Brokerage Inc (The ""Island Archon"") [1994] 2 Lloyd's Rep 227, Merit Shipping Co Inc v T.K. Boesen A/S (The ""Goodpal"") [2000] 1 Lloyd's Rep 638, André & Cie S.A. v Orient Shipping (Rotterdam) B.V. (The ""Laconian Confidence"") [1997] 1 Lloyd's Rep 139, AIC Ltd v ITS Testing Services (UK) Ltd (The ""Kriti Palm"") [2006] EWCA Civ 1601 (squirepattonboggs.com)",squirepattonboggs.com
Hill Dickinson,International,"3 Anson Road, Springleaf Tower, 24-03, Singapore, 079909, Sg ( Hill Dickinson Llp Linkedin)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Regulatory & Compliance, Real Estate & Construction, Private Wealth & Estate Planning","Reabold Resources (chamber), Star Academies  (chamber),Fox Brothers Holdings (chamber), CPM UK (chamber), Extrude Hone(chamber), moby group(gemini), Socar Trading Middle East DMCC (google ai),P&I Clubs (google ai)","SY Roro 1 Pte Ltd and another v Onorato Armatori S.R.L. and others [2024] EWHC 611 (Comm) (google AI), Trafigura PTE Ltd & Anor v Gupta & Ors [2026] EWHC 159 (Comm) (hilldickinson.com/our-view/articles/commodity-trader-successful-in-fraudulent-nickel-trade-claims/)",https://www.hilldickinson.com/
Mayer Brown LLP,International,"6 Battery Road, #10-01, Singapore 049909 (Https://Www.Mayerbrown.Com/En/About-Us/Locations)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation","Trafigura, OQ Trading (OQT), Glencore plc, Shell & Shell Western Supply and Trading, TotalEnergies / TOTAL, PetroChina & CNOOC, JERA & Pavilion Energy, PETRONAS (Marine & LNG Transport), Deutsche Energy Terminal GmbH (DET), Hong Kong LNG Terminal Limited (HKLTL), Mitsui & Osaka Gas, Excelerate Energy (perplexity)","Clearlake Shipping Pte Ltd v. Guvnor Shipping & Others, Aabar Holdings v. Glencore plc, The ""Reluctant Ship Owner"" Mortgages Enforcement Action, In re: Singamas and Container Cartel Litigation, In re: Glencore PLC SFO Investigation (perplexity)",https://www.mayerbrown.com/en
Latham & Watkins LLP,International,"9 Raffles Place #42-02 Republic Plaza Singapore, 048619 (Https://Www.Lw.Com/)","Corporate & M&A, Banking & Finance, Private Equity & Venture Capital, Funds & Investment Management, Islamic Finance, Dispute Resolution & Litigation, Regulatory & Compliance","Michelin, Revolution Medicines, Inc., AMD (Advanced Micro Devices, Inc.) (chambers), Riverstone Holdings LLC (https://www.lw.com/ & Gemini), Delfin Midstream (https://www.lw.com/ ), Ocean Network Express Pte. Ltd. (ONE)(https://www.lw.com/ ), Macquarie Group (Macquarie) (gemini)","Latham & Watkins Advises Riverstone in Acquisition of Trailstone by Engelhart Commodities Trading Partners ( https://www.lw.com/ & Gemini), Latham & Watkins Advises Delfin Midstream on First Offshore Floating Vessel LNG Export Facility in the US (https://www.lw.com/ & Gemini), Latham & Watkins Advised Ocean Network Express in the Completion of Atlas’ Going Private Transaction(https://www.lw.com/ & Gemini), Latham & Watkins Advises Macquarie on 15-Year LNG Sale and Purchase Agreement With AMIGO LNG(https://www.lw.com/ & Gemini)",https://www.lw.com/
