Firm Name,Type (Intl / Local),Office Location(s) in APAC,(SG) Partners Specialized in Commodities / Trade / Shipping,Practice Areas (Disputes / Sanctions / Finance / M&A),Known Client Base (Chambers / Legal 500 / SIAC) ,Notable Cases / Disputes,BD Contact Name,BD Contact Email,BD Contact Phone,Relationship Status,Priority (H/M/L),Notes / Next Steps,Done by,,,,
  🌐  INTERNATIONAL FIRMS,,,,,,,,,,,,,,,,,
Reed Smith,International,"10 Collyer Quay, #18-01 Ocean Financial Centre, Singapore 049315 (reedsmith.com)",Managing Partner - Asia: Prajakt Samant (reedsmith.com),"Advisory & Counseling, Regulatory, Litigations & Disputes, Transactional (reedsmith.com)","Uniper Global Commodities SE, AM Green Ammonia (India) Pvt. Ltd, China Merchants Energy Shipping, Sinopec, Crescent Petroleum, Crescent Gas, ARC Resources Ltd. (ARC), SGO: a UK election technology company, Eurobank, Trifylli Iliaki S.M.S.A.,  DRW,  Art-Invest Real Estate, Avery Healthcare, Vendrix Inc., Beehive, UAE Creative Media Authority and Abu Dhabi Film Commission, Samsung Austin Semiconductor, Purdue Pharmacy, Federated Hermes, Santander Holdings USA, Perrigo Company, Roman Catholic Diocese of Rockville Center New York, J.M. Smith Corporation, Philips Healthcare,  Elevate Services, Phoebe Energy S.M.S.A., PPC Renewables S.M.S.A., Spin Master UK Limited (reedsmith.com)","RTI Ltd v MUR Shipping BV [2024] UKSC 18, Sharp Corp Ltd v Viterra BV [2024] UKSC 14, The Aquafreedom [2024] EWHC 255 (Comm), The Ever Given – SMIT Salvage BV and Others v Luster Maritime SA [2024] EWCA Civ 260, Maersk Guiné-Bissau v Almar-Hum Bubacar Baldé [2024] EWHC 993 (Comm) (reedsmith.com)",Fiona Powell (SN),fpowell@reedsmith.com (apollo),44 773 864 7299 (apollo),,,website: https://www.reedsmith.com/,Mona,,,,
HFW (Holman Fenwick Willan),International,"30 Raffles Place, #24-01, BNI Tower, Singapore 048622 (hfw.com)",Managing Partner: Jeremy Shebson ,"Corporate & Commercial, Dispute, Finance, Regulatory, Specialized areas (climate, employmebt, fraud, yachts, travel) (google AI)","BGN Energy, Sumitomo Mitsui Banking Corporation,  the Republic of South Africa, the Gunvor Group, Northumbrian Water, Uniserve, Technip Energie, Abu Dhabi Commercial Bank, Asertis, CAFI (Commodity & Freight Integrators DMCC), China Hanking Holdings Limited (China Hanking), Cosco Shipping Ports Limited (COSCO),  UBS Switzerland AG,  Al Seer Marine (ASM), Venetico Marine SA (chambers, hfw.com)","The ""Rena"" Grounding, OW Bunker Bankruptcy, The ""Prestige"" Oil Spill, The ""Ocean Victory"" Case (https://www.studocu.com/en-gb/messages/question/5472340/what-are-some-famous-cases-that-were-advised-by-hfw-and-how-were-they-influential)",n/a,n/a,65 6411 5300 (hfw.com),,,website: https://www.hfw.com/,Mona,,,,
Clyde & Co,International,"12 Marina Boulevard, #30-03 Marina Bay Financial Centre Tower 3, Singapore 018982 (clydeco.com)","Managing Partners: Thomas Choo,  Ik Wei Chong, Eugene Tan (clydeco.com)","corporate and commercial, construction, dispute resolution (including mediation and international arbitration), employment, finance, governance, regulatory and compliance (clydeco.com)","Urban&Civic, TransactPay, Al Buhaira National Insurance Company (ABNIC), E D & F Man Capital Markets Ltd (MCM), Galliford Try, Welborne Land, Native Land Limited,  Lendlease Group, Citigroup, ThinCats, Community Pharmacy England,  Jaguar Land Rover, Erada Finance,  Pearl Infrastructure capital, Al Bawardi Enterprises, Suez Fortune Investments Ltd","The 'Brillante Virtuoso' Case, Precedent setting FOSFA sale of goods arbitration (switzerland), Appealing the Refined Sugar Associations Arbitration Award (UK), Collision of VLCC ""ALEXANDRA 1"" and ""EVER SMART"" (UK), Penglai 19-3 Oil Field Pollution (China/USA),  COSCO BUSAN Allision with San Francisco-Oakland Bay Bridge (USA), Agarwal Coal High Court Appeal (UK) (claude + clydeco.com + perplexity)",Sylvia Cai (SN),sylvia.cai@clydeco.com (apollo),65 9845 5005 (apollo),,,,Mona,,,,
Stephenson Harwood,International,"Stephenson Harwood (Singapore) Alliance, 8 Marina Boulevard #29-01, Marina Bay Financial Centre Tower 1, Singapore 018981 (stephensonharwood.com)","Managing Partners: Lauren Tang, Daryll Ng. Head of maritime, trade & offshore finance: Gregg Johnston (company website)","commerical, data & tech; corporate; dispute resolution; employement, pensions & immigration; finance; insurance; intellectual proerty; maritime, trade & offshore; private wealth; projects, energy & infrastructure; real estate; regulatory & investigations","Bicycle Therapeutics, Trafigura, WindAcre Partnership, KFin Technologies,  National Bank of Fujairah PJSC, The Arab Energy Fund, Yellow Door Energy, ICICI Bank, BW Group, HSBC, Standard Chartered, ICBC Leasing, PSA International, Mitsui & Co., Olam International, ADM (perplexity + google, from standard chartered till adm by perplexity)","former Yukos Oil Company shareholders v The Russian Federation, Trafigura Pte Ltd & Anor v Prateek Gupta & Ors [2026] EWHC 159 (Comm), SLB and others v PAK and others [2026] EWHC 449 (Comm), GAIL (India) Limited v SEFE Marketing & Trading Singapore Pte Limited, Narciso v Nash (ARB 009/2024) (google AI + google  & news + claude AI )",Marilyn Quek (SN),marilyn.quek@stephensonharwood.com (apollo),65 6622 9654 (apollo),,,,Mona,,,,
Watson Farley & Williams,International,"88 Market Street #31-05, CapitaSpring, Singapore, 048948, Singapore (wfw.com)","Managing Partner: n/a, Partners :Jun Bautista, Kimarie Cheang, Sumeet Malhotra, Merrick White (wfw.com)","Finance & Capital Markets, Corporate & M&A, Dispute Resolution, Regulatory & Competition, etc (gemini)","Cerulean Winds, Vattenfall, HSBC UK, UCED , Maas Capital Shipping, Willow MezzCo, Heytesbury, Trafigura, Shell Energy Europe Limited (SEEL), JE Energy Ltd, BW Energy Holdings Pte Ltd (wfw.com), MRI Trading AG (google AI)","The merger between Hapag-Lloyd and the United Arab Shipping Company (UASC), WFW advises Guinea as US$24bn Simandou African mega-project closes, Niko Resources (Bangladesh) Ltd. v. Bangladesh Petroleum Exploration & Production Company Limited (""Bapex"") and Bangladesh Oil Gas and Mineral Corporation (""Petrobangla""), MRI Trading AG v Erdenet Mining Corp LLC (2013) (perplexity + google AI)","Head of Business Development, Asia: Matthew Dick (SN)",mdick@wfw.com,+44 20 7863 8995 (apollo),,,https://www.wfw.com/,Mona,,,,
Ince,International,n/a,Partner:Rosita Lau (incehk.com),"Shipping, Restructuring & Insolvency, Dispute Resolution, Construction, Regulatory & Investigation, Private Wealth, Insurance, Professional Negligence, Property, Capital Markets & Corporate Compliance, Corporate & M&A, Banking & Finance, Matrimonial & Family Matters, Probate and Administration, Notary & Attestation (incehk.com)","London Commodity Brokers Ltd.(vlex.co.uk),Statoil ASA (gemini), Glory Bulk Carriers Pte Ltd. (hongkongmaritimehub.com),TCC Group (Tai Chong Cheang Shipping) (Google Ai), Seacon Shipping Group Holdings, Mur Shipping B.V.,Stena Bulk / CM P-Max (Gemini), Clearlake Shipping , Trafigura Group (Gemini), Permasteelisa Gartner HK (gemini)","Global Coal Ltd v London Commodity Brokers (vlex.co.uk),Statoil ASA v Louis Dreyfus Energy Services LP (The Harriette N)(ipsaloquitur.com ), Priyanka Shipping Limited v Glory Bulk Carriers Pte Ltd [2019] EWHC 2804 (Comm) (Gemini)",n/a,n/a,n/a,,,"Rosita Lau (Partner & Head of Shipping), Ince don't have  office in sg(gemini)",Seaklang,,,,
Norton Rose Fulbright,International,"Norton Rose Fulbright (Asia) LLP ,9 Straits ViewMarina One West Tower#09-09 Singapore 018937","Global Managing Partner; Europe, Middle East and Asia Pacific in London: Peter Scott (google ai), Partners in SG : Ben Rose & Nick Merritt, Head of Singapore: Yu-En Ong  (nortonrosefulbright.com)","Litigation and disputes, Energy, Corporate, M&A and securities, Banking and finance, Regulation and investigations, Projects, Private equity, Real estate, Restructuring, Intellectual property, Infrastructure, Capital markets, Corporate governance, Employment and labor, Renewables (nortonrosefulbright.com)","Energy Transfer (gemini),Louis Dreyfus Company (LDC) ( gemini), Nippon Yusen Kabushiki Kaisha (NYK Group),  Stena Group, Costamare Inc., P&O Ferries, Carnival Corporation, Dubai Ports World, Roi Tinto, DVB (legal500), P&O North Sea Ferries Ltd (perplexity)","Suez Fortune Investments Ltd v Talbot(gemini), PD Teesport Ltd v. P&O North Sea Ferries Ltd — Force Majeure / Ferry Operator Dispute (2022–2023), Carnival Corporation v. Fincantieri S.p.A — Shipbuilding Contract / Breach of Guarantee (Ongoing as of 2024–2025), Shell UK v. Greenpeace UK — FPSO Boarding Dispute (2023–2024), KfW IPEX-Bank v. World Dream Limited (""The World Dream"") — Ship Mortgage Enforcement (2022–2024) (perplexity)","Head of Business Development, Asia: Claire Hsiao",claire.hsiao@nortonrosefulbright.com,+65 8322 5520,,,,Seaklang,,,,
Baker McKenzie,International,38 Beach Road #23-11 South Beach Tower Singapore 189767 (bakermckenzie.com),Principal:  Allen Tan (bakermckenzie.com),"Antitrust & Competition, Artificial Intelligence, Banking & Finance, Capital Markets, Data, Technology, Privacy & Cybersecurity, Dispute Resolution, Employment & Compensation, Energy & Infrastructure, Environment & Climate Change, Funds & Investment Management, Intellectual Property, International Commercial & Trade, Investigations, Compliance & Ethics, Mergers & Acquisitions, Private Equity, Real Estate, Restructuring & Insolvency, Sustainability and ESG, Tax  (bakermckenzie.com)","Mondelez Global, Veritas,  Olink Holding AB, Pacific Gas & Electric, Physicians Realty Trust, Cummins Inc, Numab Therapeutics, Premier Assurance Group, Acorda, Regent, Vesta Advisors, Shell Singapore Pte. Ltd., Bunge Limited (google ai)","Anaklia Development Consortium (ADC) and Bob Meijer v. Georgia (ICC & ICSID parallel claims), Lakatamia Shipping Co Ltd v Su & Ors,  Lehram Capital Investments Ltd v. Baker McKenzie, Anaklia Development Consortium (ADC) v. Government of Georgia (google ai)","Head of Business Development: Constance Sun, Senior BD Manager: Nidhi Shweta (SN)","Head of BD: constance.sun@bakermckenzie.com, Snr BD Manager: nidhi.shweta@bakermckenzie.com","Head of BD: +65 8318 4905 (mobile) , Snr BD Manager: +65 6434 2784 (mobile)",,,bakermckenzie.com,Mona & Seaklang,,,,
Squire Patton Boggs,International,"1 Marina Boulevard, #21-01 One Marina Boulevard, Singapore 018989 (www.squirepattonboggs.com)","Managing Partner: Barry Stimpson, Partner: Chris Swart (squirepattonboggs.com), Managing Partner: Ignatius Hwang (SN)","Banking and finance, Commodities and shipping, Corporate and commercial transactions, Data privacy, cybersecurity and digital assets, Energy and resources, Hospitality and leisure, Infrastructure development and construction, International arbitration, Mergers and acquisitions, Private equity, Public-private partnerships, Real estate (www.squirepattonboggs.com)","China National Petroleum Corporation (CNPC), China Petroleum Technology & Development Corporation (CPTDC), Stellar Chartering & Brokerage Inc., T.K. Boesen A/S, Orient Shipping (Rotterdam) B.V., AIC Ltd, Marine Pilot Ltd, Shackerley Holdings Ltd, Itochu Europe PLC, Cedar Fair (google ai)","LG Caltex v CNPC, Triad Shipping Co v Stellar Chartering & Brokerage Inc (The ""Island Archon"") [1994] 2 Lloyd's Rep 227, Merit Shipping Co. Inc. v T.K. Boesen A/S (The ""Goodpal"") [2000] 1 Lloyd's Rep 638, André & Cie S.A. v Orient Shipping (Rotterdam) B.V. (The ""Laconian Confidence"") [1997] 1 Lloyd's Rep 139, AIC Ltd v ITS Testing Services (UK) Ltd (The ""Kriti Palm"") [2006] EWCA Civ 1601 (squirepattonboggs.com)",n/a,n/a,sg office: +65 6922 8668 (squirepattonboggs.com),,,squirepattonboggs.com,Mona,,,,
