Institution Name,Category,Commodity Type,Geographic Reach,Known Clients,Notes
ING,Traditional Bank,"energy, hard/metals, soft/agricultural","EMEA, APAC, Americas","Trafigura, Glencore, Gunvor, Vitol, Mercuria Energy, Auramet, Agritrade International",
Société Générale,Traditional Bank,"energy, hard/metals, soft/agricultural","Primary base , North America, APAC, emerging markets",Unknown,
BNP Paribas,Traditional Bank,"energy, hard/metals, soft/agricultural","Europe , Americas , APAC, Africa. Global network spans over 100 countries","Phoenix Commodities, GP Global",sep 2020: BNP Paribas Suisse discontinued financing commodity trading and announced restructuring affecting 120 employees in Geneva (perplexity)
Rabobank,Traditional Bank,"energy, hard/metals, soft/agricultural","EU, Americas, Asia, Africa, ~38 countries across Europe, North America, South America, Asia, Australia, New Zealand","Concord Resources Ltd, GP Global, Sucafina",
Standard Chartered,Traditional Bank,"energy, hard/metals, soft/agricultural, emerging","Asia-Pacific , China & India , Africa , Middle East , Latin America, UK, US","Marubeni, Serenditpity International Trading Ltd, Trafigura, Glencore, Seatrium, Ducab, Posco, Walton hi-tech",
DBS,Traditional Bank,"energy, hard/metals, soft/agricultural","Southeast Asia , Greater China , South Asia , Australia, Europe , Africa, Middle East, Latin America","Hin Leong Trading pte Ltd, Agrocorp International, Maptrasco, Trafigura, Wilmar International Ltd, Louis Dreyfus Company, Nanjing Iron & Steel, Singapore Jinteng International, Baosteel, Rio Tinto",
OCBC,Traditional Bank,"energy, hard/metals, soft/agricultural","Southeast Asia , Greater China , Asia , Europe, Australia, US",Unknown,
UOB,Traditional Bank,"energy, hard/metals, soft/agricultural","Australia, brunei, canada, mainland china, france, hong kong, india, indonesia, japan, malaysia, myanmar, philippines, singapore, south korea, taiwan, thailand, uk, usa, vietnam","Wilmar International, Musim Mas Group, Cargill, Sinar Mas Group, Sinar Mas Group, Barramundi Group, Hin Leong Trading, Agritrade International",
MUFG,Traditional Bank,"energy, hard/metals, soft/agricultural","~50 countries, ~3,000 locations globally; strong in Asia Pacific , EMEA , and North America","Trafigura, Gunvor, COFCO International, Bunge, Six One Commodities, Mercuria, Gold Fields, Norilsk Nickel",
SMBC,Traditional Bank,"energy, hard/metals, soft/agricultural","Japan , SEA, China, South Asia, Middle East, Africa, EU, North America, Latin America, Oceania","Vitol Group, Trafigura, Mercuria Energy Group, Gunvor Group, Vale, Rio Tinto, Wilmar International, COFCO International, Olam Food Ingredients, Louis Dreyfus",SMBC remains fully active in commodity trade finance as of 2026
Crédit Agricole,Traditional Bank,"energy, hard/metals, soft/agricultural","Switzerland/Western EU , Americas, APAC, SEA, Middle East, Greater China, Korea, Japan, Africa","Vitol Group, Trafigura, Mercuria Energy Group, Gunvor Group, Vale, Glencore, Louis Dreyfus Company, COFCO International, IFC",
HSBC,Traditional Bank,"energy, hard/metals, soft/agricultural","APAC, North America, Latin America, EMEA, MENAT, Sub-saharan africa","Vitol Group, Glencore, Gunvor Group, Hin Leong Trading, ZenRock Commodities Trading, Olam Agri / Olam Group, Cargill, Sinar Mas / APRIL Group, IFC Global Trade Liquidity Programme",
Natixis,Traditional Bank,"energy, hard/metals, soft/agricultural","France / EU , Americas, APAC, Middle East / Africa","Trafigura, Mercuria Energy, Gunvor Group, Vitol Group, Glencore Energy UK, COFCO International, Addax Energy",
"Bank of China, Singapore Branch",Traditional Bank,energy,"APAC, ASEAN",Unipec Singapore,
"China Construction Bank, Singapore Branch",Traditional Bank,others,"Singapore, China, South Asia, Southeast Asia",Trafigura Group pte Ltd,
"ICBC, Singapore Branch",Traditional Bank,"energy, hard/metals",Global with Asia-Pacific focus,Trafigura,
"Agricultural Bank of China, Singapore Branch",Traditional Bank,"energy, hard/metals","SG, SEA",Trafigura Beheer BV / Trafigura Group pte Ltd,
"Shanghai Pudong Development Bank (SPDB), Singapore Branch",Traditional Bank,others,"SG, SEA",Unknown,
"MUFG Bank, Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural",Global with emerging markets focus,Mercuria Energy Trading,
"Macquarie Bank, Singapore Branch",Traditional Bank,"energy, hard/metals",ASIA,Unknown,
"Commonwealth Bank of Australia (CBA), Singapore Branch",Traditional Bank,emerging,APAC,Unknown,
"ANZ Bank, Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural",global,Unknown,
"Westpac Banking Corporation, Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural","Asia, New Zealand, Europe, North America, and the Pacific region",Unknown,
"National Australia Bank (NAB), Singapore Branch",Traditional Bank,others,"Asia , UK, and US, with Singapore serving as a preferred regional center after exiting Hong Kong",Unknown,
"CIMB Bank Berhad, Singapore Branch",Traditional Bank,soft/agricultural,ASEAN,Unknown,
"Maybank Singapore Ltd / Malayan Banking Berhad, Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural","Malaysia, Singapore, Indonesia as home markets, plus Philippines, Brunei Darussalam, Vietnam, Cambodia, Thailand, Hong Kong SAR, China, Bahrain, Pakistan, Papua New Guinea, Uzbekistan, Saudi Arabia, UK, US, and India",Unknown,
"RHB Bank Berhad, Singapore Branch",Traditional Bank,others,"Malaysia, Singapore, Indonesia, Thailand, Cambodia, Vietnam, China, Myanmar, Brunei, Laos, Hong Kong, Pakistan, and the UK",Unknown,
"Bank of East Asia (BEA), Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural, petrochemicals","Greater China plus branches in New York, Los Angeles, Great Britain, Labuan, and Singapore",Unknown,
"State Bank of India, Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural","SG, India",Unknown,
"DZ Bank AG, Singapore Branch",Traditional Bank,energy,"Southeast Asia, India, and the broader Asia/Pacific region, serving as a hub for German, Swiss, and Austrian corporates",Unknown,
"Deutsche Bank AG, Singapore Branch",Traditional Bank,"energy, hard/metals, emerging","ASIA, global",Unknown,
"Commerzbank AG, Singapore Branch",Traditional Bank,Unknown,ASIA,Unknown,
"Citibank N.A. / Citi, Singapore Branch",Traditional Bank,"energy, hard/metals","ASIA, ASEAN",Unknown,
"Goldman Sachs, Singapore Branch",Traditional Bank,"energy, hard/metals, soft/agricultural, emerging","APAC, China, SEA, AUS, NZ, New York, Houston, London, Singapore, and Tokyo",Unknown,
"JPMorgan Chase Bank, Singapore Branch",Traditional Bank,soft/agricultural,"APAC, SEA",Unknown,
"BBVA, Singapore Branch",Traditional Bank,Unknown,"Asia, APAC, latin america, Spain, Mexico, South America, United States and Turkey",Unknown,
"Bank of America, Singapore Branch",Traditional Bank,"energy, hard/metals","Asia, APAC",Unknown,
Ossiano,Alternative Financier,"soft/agricultural, petrochemicals",Global,"Dorel Juvenile, Vitopel do Brasil Ltda, Tropical Forest Products, Residrox",Ossiano Capital is developed by Copap to help companies get past the barriers of traditional finance and the complexities of cross-border trade.
Copap,Alternative Financier,"soft/agricultural, petrochemicals",Global,"Dorel Juvenile, Vitopel do Brasil Ltda, Tropical Forest Products, Residrox","a privately owned marketing and supply chain services company that provides products, services and solutions to facilitate global trade. provider of trade, credit, FX and logistical solutions. serviced over 1000 companies across 100+ countries. No sg office."
Tradeflow Capital,Alternative Financier,"energy, hard/metals, soft/agricultural","Global, 18+ countries served; particularly in developing-economy rural communities",Unknown,https://tradeflow.capital/
Mercore,Alternative Financier,Unknown,"UK & EU, Africa",Unknown,non‑bank financial institution providing global trade finance and receivables‑based solutions. https://www.mercore.com/
Audentia,Alternative Financier,energy,Global,Unknown,an alternative credit fund co‑investing in trade‑finance assets alongside banks. no sg office. https://www.linkedin.com/company/audentia-capital-management-llp/
Komgo,Alternative Financier,"energy, hard/metals, soft/agricultural","Geneva, London, Paris, Singapore, Australia, Miami, Toronto","ING, Natixis, Gunvor, MUFG trading, Koch Supply & Trading, Mercuria, Shell, Total/TOTSA, CA Indosuez, ABN AMRO, BNP Paribas, Citi, Macquarie, Rabobank","Komgo is a fintech that digitalizes and automates trade finance operations for corporates and financial institutions. Has sg office. Komgo is not itself a financier or lender. It is a digital trade finance platform and network that connects commodity traders, banks, and other stakeholders to execute trade finance transactions (letters of credit, receivables discounting, standby LCs, etc.) digitally. https://www.komgo.io/"
ED&F Man Capital,Alternative Financier,"energy, hard/metals, soft/agricultural","EMEA, North America, APAC, Middle East",Unknown,ED&F Man expands its brokerage division by forming ED&F Man Capital Markets. Global financial brokerage/FCM. Provides trading‑related financing (margin and position funding) but no disclosed role as a working‑capital / trade‑finance lender to physical commodity traders. https://www.edfman.com/edf-man-capital-markets/
Czarnikow,Alternative Financier,Unknown,"Thailand, Mexico, Dubai, USA, China, Kenya, Vietnam, UK, Brazil, Philippines, SG, Colombia, Israel",P.T Kebun Tebu Mas,
Sucden Financial,Alternative Financier,"energy, hard/metals, soft/agricultural","london , hong kong, new york, moscow, hamburg",Unknown,no sg office
Drip Capital,Alternative Financier,"soft/agricultural, petrochemicals","India, USA, Mexico, global buyers/sellers",Unknown,focus is on SME exporters and importers. no sg office
Incomlend Pte. Ltd.,Alternative Financier,"hard/metals, soft/agricultural","SEA, East/North Asia, Middle East, EU, Americas","Fashion Tex Asia Ltd, Sadat Apparels Ltd, SafeFlex Limited International",
GXS Capital Pte. Ltd. (f.k.a. Validus Capital),Alternative Financier,Unknown,Singapore,Unknown,
FS Capital Pte. Ltd. (Funding Societies),Alternative Financier,Unknown,"Southeast Asia, with a focus on the ASEAN core of Singapore, Indonesia, Malaysia, Thailand, and Vietnam","The Daily Cut pte Ltd, Harvest Accounting pte Ltd, C2G2 Design pte Ltd, Seng Hong Collectibles pte Ltd, Solomon's Guild, New & Novel Engineering, Global Engineering pte Ltd, IncuBaker Cafe & Studio, Vyas Engineering pte Ltd",
IFS Capital Ltd,Alternative Financier,Unknown,"SG, Thailand, Malaysia, Indonesia, Hong Kong",Unknown,
Straits Financial Services Pte. Ltd.,Alternative Financier,"energy, hard/metals, soft/agricultural","SG, USA, Indonesia, China, UAE",Unknown,
GB Helios Pte. Ltd. (f.k.a. Goldbell Financial Services),Alternative Financier,energy,SG,"MoneySmart, Apple Cafe, xSquare / Xiaoxin Machines",
